AircraftKey,TailNumber,AircraftType,Manufacturer,SeatCapacity,CruiseSpeedKMH,FuelBurnRateKGPerHr,RangeKM,BaseCASK_USD
1,A6-A301,A320,Airbus,180,828,2400,6300,0.062
2,A6-A302,A320,Airbus,180,828,2400,6300,0.062
3,A6-A303,A320,Airbus,180,828,2400,6300,0.062
4,A6-A304,A320,Airbus,180,828,2400,6300,0.062
5,A6-A305,A320,Airbus,180,828,2400,6300,0.062
6,A6-A306,A320,Airbus,180,828,2400,6300,0.062
7,A6-B701,B737-800,Boeing,189,842,2600,5400,0.058
8,A6-B702,B737-800,Boeing,189,842,2600,5400,0.058
9,A6-B703,B737-800,Boeing,189,842,2600,5400,0.058
10,A6-B704,B737-800,Boeing,189,842,2600,5400,0.058
11,A6-B705,B737-800,Boeing,189,842,2600,5400,0.058
12,A6-B706,B737-800,Boeing,189,842,2600,5400,0.058
13,A6-BL01,B787-9,Boeing,296,903,5600,14140,0.045
14,A6-BL02,B787-9,Boeing,296,903,5600,14140,0.045
15,A6-BL03,B787-9,Boeing,296,903,5600,14140,0.045
16,A6-BL04,B787-9,Boeing,296,903,5600,14140,0.045
17,A6-BL05,B787-9,Boeing,296,903,5600,14140,0.045
18,A6-BL06,B787-9,Boeing,296,903,5600,14140,0.045
