FlightKey,FlightID,DateKey,RouteKey,AircraftKey,DelayCodeKey,ScheduledDepartureDateTime,ActualDepartureDateTime,ScheduledArrivalDateTime,ActualArrivalDateTime,ScheduledBlockMinutes,ActualBlockMinutes,DepartureDelayMinutes,ArrivalDelayMinutes,ReactionaryDelayMinutes,ScheduledTurnaroundMinutes,ActualTurnaroundMinutes,SeatsAvailable,PassengersBoarded,CargoKG,FuelBurnPlannedKG,FuelBurnActualKG,FlightStatus,IsCancelled
100001,FA100001,20250101,1,18,1,2025-01-01 06:45:00,2025-01-01 06:52:00,2025-01-01 13:29:00,2025-01-01 13:42:00,404,410,7,13,0,90,90,296,283,1671,37706.7,35399.3,Completed,False
100002,FA100002,20250101,2,18,6,2025-01-01 19:15:00,2025-01-01 19:26:00,2025-01-02 08:37:00,2025-01-02 08:48:00,802,802,11,11,0,90,90,296,249,1712,74853.3,73728.1,Completed,False
100003,FA100003,20250101,3,4,4,2025-01-01 12:30:00,2025-01-01 13:05:00,2025-01-01 15:16:00,2025-01-01 15:50:00,166,165,35,34,0,45,45,180,153,547,6640.0,6761.7,Completed,False
100004,FA100004,20250101,4,12,1,2025-01-01 12:00:00,2025-01-01 12:06:00,2025-01-01 15:01:00,2025-01-01 15:10:00,181,184,6,9,0,45,45,189,160,816,7843.3,7368.8,Completed,False
100005,FA100005,20250101,4,11,2,2025-01-01 19:00:00,2025-01-01 19:02:00,2025-01-01 22:01:00,2025-01-01 22:11:00,181,189,2,10,0,45,45,189,175,348,7843.3,8326.2,Completed,False
100006,FA100006,20250101,5,8,1,2025-01-01 05:45:00,2025-01-01 05:45:00,2025-01-01 09:17:00,2025-01-01 09:22:00,212,217,0,5,0,45,45,189,177,901,9186.7,9291.4,Completed,False
100007,FA100007,20250101,5,11,1,2025-01-01 19:15:00,2025-01-01 19:15:00,2025-01-01 22:47:00,2025-01-01 22:54:00,212,219,0,7,0,45,45,189,140,626,9186.7,9702.0,Completed,False
100008,FA100008,20250101,6,16,1,2025-01-01 09:30:00,2025-01-01 09:30:00,2025-01-01 15:27:00,2025-01-01 15:33:00,357,363,0,6,0,90,90,296,274,1649,33320.0,32472.8,Completed,False
100009,FA100009,20250101,7,17,1,2025-01-01 10:45:00,2025-01-01 10:52:00,2025-01-01 19:46:00,2025-01-01 19:58:00,541,546,7,12,0,90,90,296,268,1395,50493.3,52414.5,Completed,False
100010,FA100010,20250101,8,12,6,2025-01-01 09:00:00,2025-01-01 09:08:00,2025-01-01 12:17:00,2025-01-01 12:22:00,197,194,8,5,0,45,45,189,151,97,8536.7,8656.8,Completed,False
100011,FA100011,20250101,9,13,1,2025-01-01 21:30:00,2025-01-01 21:30:00,2025-01-02 04:00:00,2025-01-02 03:58:00,390,388,0,0,0,90,90,296,290,1050,36400.0,38885.7,Completed,False
100012,FA100012,20250101,10,16,9,2025-01-01 15:45:00,2025-01-01 17:25:00,2025-01-02 04:21:00,2025-01-02 05:56:00,756,751,100,95,100,90,15,296,271,1823,70560.0,68511.5,Completed,False
100013,FA100013,20250101,11,16,3,2025-01-01 10:45:00,2025-01-01 10:50:00,2025-01-01 16:58:00,2025-01-01 17:11:00,373,381,5,13,0,90,90,296,256,1524,34813.3,36159.9,Completed,False
100014,FA100014,20250101,12,4,1,2025-01-01 22:30:00,2025-01-01 22:38:00,2025-01-02 01:15:00,2025-01-02 01:32:00,165,174,8,17,0,45,45,180,164,1361,6600.0,7149.1,Completed,False
100015,FA100015,20250101,13,18,1,2025-01-01 16:00:00,2025-01-01 16:00:00,2025-01-01 22:54:00,2025-01-01 22:50:00,414,410,0,0,0,90,90,296,273,2076,38640.0,39423.9,Completed,False
100016,FA100016,20250101,14,13,1,2025-01-01 12:45:00,2025-01-01 12:46:00,2025-01-01 19:48:00,2025-01-01 19:55:00,423,429,1,7,0,90,90,296,261,1219,39480.0,39789.9,Completed,False
100017,FA100017,20250101,15,16,8,2025-01-01 05:45:00,2025-01-01 06:52:00,2025-01-01 09:29:00,2025-01-01 10:45:00,224,233,67,76,0,90,90,296,255,1533,20906.7,20432.4,Completed,False
100018,FA100018,20250101,15,18,1,2025-01-01 10:00:00,2025-01-01 10:00:00,2025-01-01 13:44:00,2025-01-01 13:42:00,224,222,0,0,0,90,90,296,271,2616,20906.7,20943.6,Completed,False
100019,FA100019,20250101,16,17,10,2025-01-01 20:30:00,2025-01-01 21:50:00,2025-01-02 02:43:00,2025-01-02 04:08:00,373,378,80,85,80,90,32,296,280,1981,34813.3,34728.2,Completed,False
100020,FA100020,20250101,17,16,1,2025-01-01 05:45:00,2025-01-01 05:45:00,2025-01-01 11:21:00,2025-01-01 11:30:00,336,345,0,9,0,90,90,296,266,1313,31360.0,29727.1,Completed,False
