RouteFinKey,DateKey,RouteKey,AircraftKey,FlightCount,ASK,RPK,PassengerRevenueUSD,AncillaryRevenueUSD,CargoRevenueUSD,TotalRevenueUSD,FuelCostUSD,CrewCostUSD,MaintenanceCostUSD,AirportChargesUSD,OtherOperatingCostUSD,TotalOperatingCostUSD
1,20250101,1,13,31,52394960,48997510,4193496.86,574869.65,19834.44,4788200.95,967719.19,524898.41,320129.42,140000.92,900125.48,2852873.43
2,20250201,1,13,27,45634320,32415670,2979666.95,384076.04,21378.53,3385121.52,807702.35,437005.53,333145.1,114198.52,994071.0,2686122.5
3,20250301,1,13,30,50704800,38405460,3318519.12,211348.73,22132.32,3552000.17,1024446.63,516095.0,382054.68,115111.65,1069771.65,3107479.6
4,20250401,1,13,28,47324480,36321310,3307536.31,274619.57,27440.54,3609596.42,917012.17,418235.73,367149.13,110647.69,817338.5,2630383.22
5,20250501,1,13,30,50704800,39627400,3437249.06,433445.56,23571.34,3894265.96,955564.34,475917.51,391352.54,125811.5,1050646.76,2999292.64
6,20250601,1,13,28,47324480,39050690,3488721.21,213563.01,24832.25,3727116.47,857551.25,475988.58,361200.08,111342.93,818509.31,2624592.15
7,20250701,1,13,29,49014640,46308100,4271216.04,527240.91,26634.05,4825090.99,933450.58,507579.45,372448.89,112731.18,764817.86,2691027.96
8,20250801,1,13,29,49014640,44275340,4094775.68,546400.96,20782.15,4661958.8,1025164.43,480749.78,358080.63,124669.79,850973.21,2839637.84
9,20250901,1,13,30,50704800,35516200,3323142.08,280822.17,22390.64,3626354.89,1016106.27,514042.49,359242.57,124428.07,820525.29,2834344.69
10,20251001,1,13,31,52394960,40837920,4168545.07,256143.4,20410.2,4445098.67,935345.31,464376.68,398611.01,121105.81,874534.15,2793972.97
11,20251101,1,13,28,47324480,38828000,3625307.76,460089.34,20174.49,4105571.59,934615.35,414434.46,334724.22,120006.18,1012928.77,2816708.97
12,20251201,1,13,30,50704800,47952580,4857785.35,419824.46,22137.51,5299747.32,1089264.13,476887.91,333112.57,128674.13,828053.73,2855992.47
13,20250101,2,13,25,86506000,74500370,5414024.69,707445.79,21710.1,6143180.59,1622243.44,816087.12,663729.84,112076.65,1396722.85,4610859.9
14,20250201,2,13,24,83045760,54463710,4418731.97,336467.94,15960.75,4771160.66,1533414.19,814452.14,639504.72,110382.44,1794286.4,4892039.89
15,20250301,2,13,23,79585520,55539190,4062648.34,474777.48,14798.93,4552224.74,1370845.36,684048.55,497396.24,95897.03,1228276.89,3876464.08
