Order_ID,Order_Date,Ship_Date,Customer_ID,Customer_Name,Segment,Region,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit
ORD0001,3/10/2024,3/11/2024,CUST288,Customer_123,Home Office,East,Office Supplies,Storage,Storage Box,524.31,5,0.17,15.73
ORD0002,1/20/2024,1/27/2024,CUST255,Customer_16,Consumer,West,Technology,Phones,Samsung Galaxy,514.64,5,0.16,20.59
ORD0003,12/31/2024,1/1/2025,CUST150,Customer_178,Home Office,North,Technology,Computers,Laptop,132.52,3,0.06,18.55
ORD0004,3/9/2024,3/16/2024,CUST044,Customer_203,Home Office,South,Technology,Accessories,Mouse,91.91,1,0.01,17.46
ORD0005,3/5/2024,3/7/2024,CUST290,Customer_181,Consumer,West,Furniture,Bookcases,Wooden Bookcase,835.4,2,0.24,-33.42
ORD0006,11/1/2024,11/4/2024,CUST056,Customer_283,Consumer,South,Office Supplies,Paper,A4 Paper Pack,152.31,4,0.1,15.23
ORD0007,5/12/2024,5/15/2024,CUST209,Customer_50,Corporate,East,Office Supplies,Binders,Ring Binder,80.17,1,0.14,4.81
ORD0008,2/6/2024,2/12/2024,CUST112,Customer_8,Corporate,North,Office Supplies,Storage,File Cabinet,366.66,5,0.09,40.33
ORD0009,11/8/2024,11/14/2024,CUST125,Customer_291,Corporate,South,Furniture,Chairs,Gaming Chair,788.14,5,0.09,86.7
ORD0010,6/26/2024,7/2/2024,CUST277,Customer_46,Home Office,East,Office Supplies,Storage,File Cabinet,722.81,1,0.26,-43.37
ORD0011,3/26/2024,4/2/2024,CUST189,Customer_38,Consumer,North,Office Supplies,Paper,A4 Paper Pack,72.48,1,0.26,-4.35
ORD0012,10/27/2024,11/1/2024,CUST286,Customer_2,Consumer,West,Furniture,Chairs,Gaming Chair,128.06,5,0.2,0
ORD0013,7/23/2024,7/26/2024,CUST258,Customer_66,Consumer,West,Office Supplies,Binders,Ring Binder,340.92,2,0.1,34.09
ORD0014,1/5/2024,1/11/2024,CUST091,Customer_40,Consumer,West,Office Supplies,Paper,A4 Paper Pack,478.71,3,0.22,-9.57
ORD0015,10/19/2024,10/23/2024,CUST217,Customer_96,Consumer,West,Technology,Phones,Samsung Galaxy,848.85,3,0.22,-16.98
ORD0016,4/22/2024,4/25/2024,CUST230,Customer_201,Consumer,South,Furniture,Tables,Study Table,250.92,1,0.02,45.17
ORD0017,10/20/2024,10/25/2024,CUST168,Customer_228,Consumer,West,Furniture,Bookcases,Wooden Bookcase,51.18,4,0.02,9.21
ORD0018,8/27/2024,8/29/2024,CUST213,Customer_77,Consumer,West,Technology,Phones,Samsung Galaxy,725.69,3,0.19,7.26
ORD0019,10/20/2024,10/22/2024,CUST224,Customer_226,Corporate,West,Furniture,Tables,Study Table,695.26,3,0.18,13.91
